635,347
624,357
657,362
659,393
667,372
621,353
631,356
637,353
626,406
621,355
656,363
640,361
646,352
625,336
592,404
746,267
748,260
723,264
711,268
785,232
789,235
798,228
649,375
633,347
637,360
644,373
643,354
680,368
656,387
635,363
630,350
653,360
628,364
644,353
652,355
635,364
694,324
622,358
595,443
631,352
587,424
596,414
460,503
496,492
456,485
494,496
498,501
491,527
494,491
582,432
647,372
658,392
635,361
657,388
637,361
640,370
642,370
637,352
643,341
615,404
668,363
635,373
751,261
709,285
719,266
754,266
744,263
750,259
751,261
729,255
724,270
715,267
724,264
673,405
635,360
641,368
651,380
655,387
643,375
637,349
636,365
634,401
635,348
623,354
695,324
677,341
611,355
615,359
564,349
639,333
621,367
628,368
625,360
624,377
628,374
629,329
661,367
631,344
644,355
628,360
654,357
600,407
721,272
716,266
724,267
731,274
676,346
662,352
639,366
642,372
649,374
620,363
635,336
626,356
641,349
632,364
640,346
639,373
621,353
639,391
642,393
637,350
635,358
682,317
649,323
631,346
658,343
582,428
485,495
492,495
494,495
534,452
537,454
641,357
617,354
660,355
677,363
682,376
641,371
640,364
656,399
671,344
675,406
629,334
638,333
637,377
642,355
668,361
660,372
764,251
707,276
726,262
690,283
688,316
710,275
712,265
717,268
684,312
708,323
748,263
700,356
659,390
621,357
612,327
622,366
639,366
617,365
629,362
631,349
686,355
660,341
645,320
641,350
628,319
575,394
586,425
587,424
543,387
599,421
586,428
547,424
552,416
654,352
612,356
621,362
612,315
608,331
611,343
598,373
602,338
644,345
632,342
643,357
654,372
608,373
654,375
744,264
749,261
720,308
727,264
714,289
692,297
744,271
719,267
653,343
655,384
703,366
636,362
626,370
654,345
619,355
641,363
617,362
624,361
627,360
626,354
628,372
670,333
676,347
641,354
615,360
615,331
624,375
651,356
615,370
600,363
597,365
638,350
608,364
639,351
597,344
639,363
606,375
596,401
699,266
709,280
702,252
723,263
789,222
640,370
626,350
661,367
638,361
612,338
660,359
640,360
694,401
687,342
637,353
640,361
621,362
652,385
629,368
602,335
621,331
667,357
651,333
640,353
594,423
533,463
481,538
488,495
534,491
482,497
498,498
533,440
641,374
668,352
591,368
618,347
616,391
615,328
633,337
571,357
624,354
635,339
616,355
622,382
616,319
604,372
621,369
702,278
715,227
731,259
721,261
752,259
726,280
729,265
730,251
730,266
746,273
739,270
702,277
652,397
661,364
646,355
650,366
653,360
647,349
662,407
690,398
689,403
709,386
607,386
642,341
631,352
644,327
588,422
580,417
553,420
567,396
566,398
575,450
592,400
591,396
607,319
628,356
616,338
625,332
614,339
590,368
684,353
623,354
594,344
599,342
644,347
644,335
638,354
613,387
605,389
635,340
622,389
687,406
657,384
653,399
647,375
656,365
653,369
651,357
675,384
641,351
646,354
659,355
649,327
634,341
574,424
535,460
531,460
534,437
518,477
637,387
624,353
662,359
665,359
616,417
611,348
630,357
604,328
614,323
587,335
650,382
651,392
660,371
650,378
715,440
627,389
665,358
685,354
703,278
664,318
702,254
694,301
687,268
804,247
796,253
822,186
637,355
643,368
636,372
656,351
646,354
648,382
637,326
651,351
680,382
648,353
663,340
658,341
662,343
635,350
653,325
565,405
536,462
497,469
499,502
498,499
512,466
479,481
500,481
612,338
623,365
654,358
656,394
683,394
662,399
645,386
649,375
650,381
651,378
648,387
577,390
646,367
689,368
663,315
704,283
719,270
732,254
719,271
707,270
719,317
711,289
738,221
733,199
646,355
651,348
662,366
659,372
645,380
653,373
652,375
601,328
653,389
658,337
654,332
641,327
636,348
642,364
577,437
577,393
587,426
590,424
584,426
551,419
595,395
596,466
616,487
634,448
659,407
726,414
596,378
649,382
648,382
631,357
649,401
651,402
649,365
618,345
614,323
642,357
654,372
620,388
621,383
736,245
712,268
720,265
733,261
660,273
669,280
584,287
627,286
595,329
651,354
649,368
552,262
565,299
650,372
679,393
652,378
646,344
664,402
710,387
681,355
611,356
616,358
618,373
617,371
595,377
607,407
636,419
694,398
688,399
710,430
718,424
702,434
694,419
716,494
708,450
756,383
754,379
806,320
823,279
623,332
619,326
622,356
644,374
634,359
649,375
635,354
635,372
644,372
645,372
589,316
603,346
591,344
582,308
557,269
553,262
559,253
633,294
562,298
564,290
539,354
532,389
534,442
528,471
555,455
490,495
497,499
480,483
481,482
601,353
558,328
681,392
661,389
692,455
724,447
697,428
697,429
683,408
697,424
698,425
703,431
701,443
687,408
635,394
685,352
716,255
688,359
714,272
730,258
733,269
726,269
743,271
742,245
704,188
656,172
631,205
556,291
563,276
570,287
543,271
562,271
549,271
565,279
554,261
604,286
655,331
652,335
633,351
644,343
641,355
581,423
569,399
539,424
568,431
572,460
600,485
641,501
668,480
698,419
679,401
703,441
694,426
748,469
697,423
703,424
709,431
639,372
710,445
618,326
608,380
608,394
609,376
642,336
664,392
657,385
651,400
643,324
622,290
583,288
599,294
561,263
553,302
556,282
557,265
527,228
523,263
503,299
474,337
504,379
454,394
636,326
602,316
625,356
700,372
630,356
629,364
616,365
625,341
599,341
720,436
708,412
708,417
678,402
761,462
721,457
765,467
724,459
717,467
751,477
727,414
754,379
807,319
821,279
822,272
836,236
641,364
661,348
633,346
627,362
651,373
661,356
603,345
586,316
571,272
558,293
557,297
540,205
518,215
534,222
541,236
549,256
503,297
502,337
472,366
511,399
536,451
531,460
